"","sentence","head","tail","relation"
"1158","In particular, Manafort voiced a concern that the Clinton Campaign would ""move immediately to discredit the Donald Trump victory and claim voter fraud and cyber-fraud, including the claim that the Russians have hacked into the voting machines and empered with the results.""","Clinton Campaign","Donald Trump","negative1"
"1159","Trump has also struggled to square his hiring pledge with the prosecutorial results of former special counsel Robert Mueller’s investigation, which ensnared his former campaign chairman Paul Manafort, former personal attorney and fixer Michael Cohen, longtime informal political adviser Roger Stone and various other close allies.","Trump","Michael Cohen","negative2"
"1160","Speaking separately, also in July 2016, an official close to Presidential Administration Head, S. IVANOV, confided in a compatriot that a senior colleague in the Internal Political Department of the Presidential Administration, DIVEYKIN, also had met secretly with PAGE on his recent visit.","S. IVANOV","Presidential Administration","neutral1"
"1161","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murad","Donald Trump","neutral2"
"1162","Information suggests Kilimnik understood that some of the polling data showed that Clinton's negatives were particularly high; that Manafort's plan for victory called for focusing on Clinton's negatives as much as possible; and that given Clinton's high negatives, there was a chance that Trump could win.","Manafort","Clinton","negative2"
"1163","Or, in Jared and Ivanka’s view, in Sean Spicer family’s defense.","Jared","Sean Spicer","negative1"
"1164","One week later, in the first week of May 2016, Papadopoulos suggested to a representative of a foreign government that the Trump Campaign had received indications from the Russian government that it could assist the Campaign through the anonymous release of information damaging to candidate Clinton.","Russian government","Trump campaign","positive1"
"1165","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Roman Beniaminov","Aras Agalarov","neutral2"
"1166","During the presidential race, Mr Whitaker, a former United States attorney, also said he would have indicted Mrs Clinton, contradicting Mr Comey’s highly unusual public announcement that he would recommend the Justice Department not charge her over her handling of classified information while secretary of state.","Whitaker","Clinton","negative1"
"1167","The Committee does not know the substance of these conversations, but the pattern and timing of Stone’s calls with Trump and others during this period suggest that the they could have discussed the DNC hack and WikiLeaks.","Stone","Trump","neutral2"
"1168","Dear Don, Aras Agalarov just received a letter and gift for your dad from Mr. Putin, I'm sending all this with my mom who is flying early next week and either Rob or Paula will make sure you guys get it shortly, in the meantime here are some pictures.","Aras Agalarov","Putin","positive2"
"1169","A May 2014 Department of State cable noted that the Russian Government had ""unleashed an unprecedented social media propaganda campaign to shore up domestic support for President Vladimir Putin's policy and to support anti-Kyiv protest activity on the streets of southern and eastern Ukraine.""","Vladimir Putin","Russian Government","positive1"
"1170","Trump Jr. responded that it ""will likely be Paul Manafort (campaign boss) my brother in law and me.""","Paul Manafort","Trump Jr.","neutral1"
"1171","However, the Committee found that FBI overly adhered to the letter of its procedures in dealings with the DNC, rather than recognizing the gap between those procedures and effective the pursuit of its mission, and did not follow its procedures closely enough in the handling of Christopher Steele.","FBI","Christopher Steele","neutral1"
"1172","The first correspondence the Committee is aware of regarding Miss Universe Moscow occurred on January 7, 2013, when Emel Kiral emailed Emin Agalarov and wrote that she enjoyed meeting him, suggested that they meet with her ""contact"" at Miss Universe, and suggested that Agalarov could perform at a Miss Universe pageant that was hosted in Moscow.","Emel Kiral","Emin Agalarov","neutral2"
"1173","After the meetings, Cohen would adjourn to his office at Trump Tower to plan next steps with Michael Caputo, the Republican strategist plotting Trump’s gubernatorial campaign.","Cohen","Michael Caputo","positive2"
"1174","Oknyansky claimed that Caputo accompanied Stone to the meeting and provided an introduction, whereas Caputo did not tell us that he had attended and claimed that he was never told what information Oknyansky offered.","Caputo","Stone","neutral2"
"1175","In September 2015, Trump authorized Cohen to pursue the Sater-related deal.","Cohen","Sater","neutral1"
"1176","Once this was discovered, International Republican Institute fired Kilimnik, and Kilimnik became a formal employee of Manafort's firm.","Manafort","Kilimnik","neutral1"
"1177","In subsequent months, the IRA purchased dozens of advertisements supporting the Trump Campaign, predominantly through the Facebook groups ""Being Patriotic,"" ""Stop All Invaders,"" and ""Secured Borders.""","IRA","Trump Campaign","positive1"
"1178","In 2017, Assange also promised to provide evidence to then-Congressman Dana Rohrabacher that Russia was not his source, but only in exchange for protection from U.S. authorities.","Assange","Dana Rohrabacher","neutral1"
"1179","George Papadopoulos joined the Trump Campaign as part of a foreign policy advisory team created to blunt criticism that the Campaign lacked foreign policy advisors.","George Papadopoulos","the Trump Campaign","neutral1"
"1180","Goldstone was meeting Veselnitskaya, Akhmetshin, and Samochomov for the first time.","Veselnitskaya","Akhmetshin","neutral2"
"1181","Around the same time, WikiLeaks initiated communications with the GRU persona Guccifer 2.0 shortly after it was used to release documents stolen from the DNC.","Guccifer 2.0","DNC","neutral2"
"1182","Klyushin and Klyushina were included on a number of Emin Agalarov and Rob Goldstone's emails prior to, and following, the Miss Universe pageant.","Emin Agalarov","Klyushin","neutral1"
"1183","By late October 2015, Sater, Cohen, and LC. Expert had agreed on terms for a detailed Letter of Intent (LOI).","Cohen","LC. Expert","positive2"
"1184","The investigation focused on Mr. Manafort and a pair of Trump's advisers, Carter Page and Roger J. Stone.","Trump","Roger J. Stone","positive2"
"1185","Section lII of this Report details the Special Counsel Office's investigation into the Russian hacking operations, as well as other efforts by Trump Campaign supporters to obtain Clinton-related emails.","Special Counsel Office's","Russian","negative1"
"1186","Ultimately,·Gates was deposed in November 2015 and Manafort was deposed in December 2015 in relation to the Pericles proceedings, while a dispute over access to, and use of, documents was not resolved until mid-February 2016-in the midst of Manafort's private lobbying to obtain a position on the Trump Campaign.","Manafort","the Trump Campaign","positive1"
"1187","However, Corsi said that Stone was concerned about having advance information about the Podesta release, and that Stone recruited Corsi to make sure no one knew Stone had advance knowledge of that information.","Stone","Corsi","positive1"
"1188","On October 10, 2013, Graff wrote an email titled ""DT's Guests on Trip to Moscow"" to Shugart.","Graff","Shugart","neutral2"
"1189","Sater had separately reached out to a SPIEF official in charge of ""official delegations"" to request assistance to expedite his and Cohen's visas.","Sater","Cohen","positive1"
"1190","However, Manafort also recalled that Trump Jr. told him that they had ''worked with the Trump Organization and he was comfortable.""","Trump Jr.","Manafort","neutral2"
"1191","On March 20, 2017, in open-session testimony before HPSCI, Comey stated: I have been authorized by the Department of Justice to confirm that the FBI, as part of our counterintelligence mission, is investigating the Russian government's efforts to interfere in the 2016 presidential election, and that includes investigating the nature of any links between individuals associated with the Trump campaign and the Russian government and whether there was any coordination between the campaign and Russia's efforts ....","Russian government","U.S. Government","negative1"
"1192","Ledeen claimed to have obtained a trove of emails (from what she described as the ""dark web"") that purported to be the deleted Clinton emails","Ledeen","Clinton","negative1"
"1193","Emin and Irakly “Ike” Kaveladze both said the same continually: 'I know Rob Goldstone didn't want to do this, I know Rob Goldstone didn't want to set it up, but Mr. A[galarov] really wanted it, and it's fine.'""","Irakly “Ike” Kaveladze","Rob Goldstone","positive1"
"1194","Cohen recalled that he relayed the ""the sum and substance of my conversation"" with Klokov to Ivanka Trump, as she had requested.","Cohen","Klokov","neutral2"
"1195","Throughout this time, Manafort and Barrack both communicated with Stone.","Manafort","Stone","neutral2"
"1196","Long before Cohen turned on the president, questions about his trustworthiness had percolated among Trump’s advisers.","Cohen","Trump","negative2"
"1197","Manafort, Kilimnik, and Gates exchanged a number of calls and messages in the lead-up to the meeting.","Manafort","Kilimnik","neutral2"
"1198","The package with the box from Putin was brought to the United States by Irina Agalarova, Aras Agalarov's wife.","Irina Agalarova","Aras Agalarov","positive2"
"1199","Trump and Cuomo, two Queens natives prone to shifting quickly between approval and antagonism, alternately frosty and supportive working relationship.","Trump","Cuomo","positive2"
"1200","However; Kilimnik continued to push the issue, telling Patten that your knowledge of the region is superb, and you could do your country a favor by running policy not based on false perceptions, but on facts:""Patten said he declined Kilimnik's offer.","Patten","Kilimnik","negative1"
"3001","Specifically, Cohen recalled Poliakova asking about the property, including the area, size, and square footage.","Poliakova","Cohen","neutral2"
"3002","In early 2018, Manafort asked Laurance Gay, a friend of Manafort and Gates, to dissuade Gates from accepting a plea agreement.","Manafort","Laurance Gay","positive2"
"3003","Following the dinner, Miller prepared a termination letter based on those notes and research he conducted to support Donald Trump's arguments.","Miller","Donald Trump","positive2"
"3004","The GRU transferred the information stolen from the Clinton Campaign and DNC to WikiLeaks, likely because WikiLeaks offered a more effective platform to disseminate stolen documents than the GRU' s own organic methods.","GRU","DNC","negative1"
"3005","Paul Manafort was the Trump Campaign manager.","Paul Manafort","Trump Campaign","neutral1"
"3006","On March 24, 2016, Papadopoulos met with Mifsud and Olga Polonskaya, a Russian-national, at the Holborn Hotel.","Papadopoulos","Olga Polonskaya","neutral2"
"3007","Less than an hour later, WikiLeaks made its second release: thousands of John Podesta's emails that had been stolen by the GRU in late March 2016.","WikiLeaks","John Podesta","negative1"
"3008","The next day, with more inquiries coming from reporters, Steve Bannon confronted Hicks inside the cabinet room, accusing her of doing Jared and Ivanka’s dirty work.","Steve Bannon","Hicks","negative1"
"3009","As a result, on November 24, 2015, Ivanka Trump received a response from Zaha Hadid Architects to notify her that the firm intended to submit a ""proposal for the new Trump Moscow.""","Zaha Hadid Architects","Ivanka Trump","neutral2"
"3010","On June 22, 2016, seven days after Guccifer 2.0's first releases of stolen DNC documents, WikiLeaks used Twitter's direct message function to contact the Guccifer 2.0 Twitter account and suggest that Guccifer 2.0 ""[s]end any new material [stolen from the DNC] here for us to review and it will have a much higher impact than what you are doing.""","WikiLeaks","Guccifer 2.0","neutral2"
"3011","Buzzfeed obtained the email and the information about Bannon’s interview with Mueller’s team after successfully suing the Department of Justice for unreleased records the special counsel’s office produced during its investigation of Russian interference in the 2016 campaign.","Mueller’s team","Bannon","neutral2"
"3012","Anatoli Samochomov has stated that he was contacted by Robert Arakelian, the president of HRAGI, offering to cover his legal expenses if he was willing to confine his comments regarding the June 9 meeting to public statements already made by Veselnitskaya.","Robert Arakelian","HRAGI","positive2"
"3013","Papadopoulos remembered telling Clovis he did not have any Russian contacts during that call.","Papadopoulos","Clovis","neutral2"
"3014","Later on November 9, Yana Gorokhova from the Crocus Group emailed Goldstone the final signed letter.","Yana Gorokhova","Crocus Group","neutral1"
"3015","Shugart recalled, ""At that point I asked Rob: ' Okay, what was this meeting?'","Shugart","Rob","neutral2"
"3016","In September 2015, Glassner told Papadopoulos that the Trump Campaign was not hiring policy advisors.","Glassner","Papadopoulos","neutral2"
"3017","On December 3, 2015, Barbara Ledeen emailed Smith a proposal to obtain the emails, stating,","Barbara Ledeen","Smith","neutral2"
"3018","Cohen was calling to inform Allon that his boss did not appreciate being excluded from Avenue’s list of the 200 most influential New Yorkers.","Cohen","Allon","neutral2"
"3019","For instance, on October 21, 2016, Manafort sent Kushner an email with an attached memorandum that provided strategy guidance recommending that the Campaign should depict Clinton ""as the failed and corrupt champion of the establishment,"" because ""Wikileaks provides the Trump campaign the ability to make the case in a very credible way -by using the words of Clinton, its campaign officials and DNC members.""","Manafort","Kushner","positive1"
"3020","But the Republicans knew they were getting somewhere when Trump signaled to his attorney that he wanted more talks.","the Republicans","Trump","positive1"
"3021","For example, Hope Hicks, a close aide to Trump on the Campaign, recalled attending a dinner at Mar-a-Lago with Trump and Manafort on March 24.","Trump","Manafort","positive2"
"3022","Before the first meeting about the New York governor’s race, Caputo said Roger Stone, then Trump’s political adviser, warned him that Cohen was “mercurial — you don’t want to get on his bad side.","Roger Stone","Cohen","negative1"
"3023","The Committee assesses that Klyushin is a Kremlin-linked bot developer who has supported Russian influence operations on social media.","Klyushin","Kremlin","neutral1"
"3024","The Carter Page went off topic with effusive praise for Russian President Vladimir Putin and Trump.","Carter PAGE","Vladimir PUTIN","positive1"
"3025","Credico was in London to see a friend and had agreed to deliver a letter to Assange from Berthold Reimers, Manager of the WBAI radio station.","Berthold Reimers","Credico","positive1"
"3026","Manafort continued working with Kilimnik on the plan, including efforts to draft a poll to test aspects of the plan as late as 2018.","Manafort","Kilimnik","positive2"
"3027","Veselnitskaya also told the Committee that she represents Aras Agalarov on some issues, and has worked for him since 2013 or 2014.","Veselnitskaya","Aras Agalarov","positive2"
"3028","Sater later explained to the Committee that Emin Iskenderov, a Russian developer known for his efforts to develop a multi-billion dollar project in Paris, ""had access"" to Peskov.","Emin Iskenderov","Peskov","neutral1"
"3029","At Cohen's request, Rtskhiladze provided a translation of the draft letter.","Rtskhiladze","Cohen","neutral2"
"3030","However, on several occasions, the Campaign asked him to stop his interactions with the foreign press on its behalf, and in October 2016, several senior Campaign staffers discussed ending Papadopoulo+E136s's role with the Campaign, but never did so.","George Papadopoulos","Joseph Mifsud","neutral2"
"3031","For example, Nastya Rybka, a former Deripaska mistress, was arrested in Thailand and claimed that she was ""the only witness and the missing link in the connection between Russia and the U.S. elections - the long chain of Oleg Deripaska, Prikhodko, Manafort, and Trump.""","Deripaska","Prikhodko","positive2"
"3032","Julian Assange has said that he focuses his efforts on the United States because it is the world's ""superpower.""","Julian Assange","United States","negative1"
"3033","And Felix Sater flew there from Europe, because Felix Sater didn't fly there with Donald Trump Jr. and Ivanka Trump, and Felix Sater met them there.","Donald Trump Jr.","Ivanka Trump","neutral2"
"3034","In an interview with Aras Agalarov that has only partially been published, Agalarov was asked why Putin wanted to meet with Trump.","Putin","Trump","positive1"
"3035","Republicans, meanwhile, have been growing increasingly restless, with the House Oversight Committee probing Trump’s security protocols for discussing classified information at his weekend retreat in Mar-a-Lago, and Senate majority leader Mitch McConnell suggesting that the Senate investigation of Russian interference in the election would expand.","Mitch McConnell","Senate","neutral2"
"3036","WikiLeaks began releasing Podesta' s stolen emails on October 7, 2016, less than one hour after a U.S. media outlet released video considered damaging to candidate Trump.","U.S. media","Trump","negative1"
"3037","Steve Bannon’s off-balance-sheet communications staff—Bossie, Lewandowski, Jason Miller, Sam Nunberg (even though he had long fallen out with Trump himself), and Alexandra Preate—formed quite a private army of leakers and defenders.","Steve Bannon","Jason Miller","positive2"
"3038","Stone responded, echoing information he had received from Credico and Assange's own announcement:","Stone","Steve Bannon","neutral2"
"3039","Some evidence suggests Kilimnik may be connected to the GRU hack-and-leak operation related to the 2016 U.S. election.","Kilimnik","GRU","neutral1"
"3040","WikiLeaks publicly tweeted: '""Let's bomb Iraq' Progress for America PAC to launch ""PutinTrump.org' at 9:30am. Oops pw is 'putintrump' putintrump.org.""","Progress for America","PutinTrump.org","neutral2"
"3041","At the same time that the IRA operation began to focus on supporting candidate Trump in early 2016, the Russian government employed a second form of interference: cyber intrusions (hacking) and releases of hacked materials damaging to the Clinton Campaign.","IRA","Clinton campaign","negative1"
"3042","Stone then emailed Jessica Macchia, one of Trump's assistants, eight draft tweets for Trump, under the subject line ""Tweets Mr. Trump requested last night.""","Stone","Jessica Macchia","neutral1"
"3043","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe Organization employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Esther Swan","Miss Universe Organization","neutral1"
"3044","On November 7, Emin Agalarov directed Beniaminov to work with Agalarov's head of security to confirm Trump's security guard.","Emin Agalarov","Beniaminov","neutral1"
"3045","Goldstone recalled that he remained at the party until Trump and Schiller left to return to the hotel, again with a police escort and security.","Schiller","Trump","positive2"
"3046","These additional DCLeak Account administrator personas included ""Richard Gingrey"" and ""Jason Scott.""","Richard Gingrey","DCLeak Account","neutral1"
"3047","In the letter, Rozov wrote that ""the tallest building in Europe should be in Moscow, and I am prepared to build it.""","Rozov","Michael Cohen","neutral2"
"3048","In early 2018, Manafort asked Laurance Gay, a friend of Manafort and Gates, to dissuade Gates from accepting a plea agreement.","Gates","Laurance Gay","positive2"
"3049","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Olivia Culpo","Roman Beniaminov","neutral2"
"3050","At a dinner on Friday, May 5, attended by the President and various advisors and family members, including Jared Kushner and senior advisor Stephen Miller, the President stated that he wanted to remove Comey and had ideas for a letter that would be used to make the announcement.","the President","Stephen Miller","neutral2"
"3051","Stone, however, maintained his prediction that Assange would be releasing Clinton materials.","Assange","Clinton","negative1"
"3052","Deripaska hired Manafort and Manafort's firm to work on the Montenegrin independence referendum.","Deripaska","Manafort's firm","positive1"
"3053","Other senior Trump Campaign advisors, including Flynn, Kushner, Manafort, Lewandowski, then Senator Jeff Sessions, and Trump Campaign policy advisor Sam Clovis also expressed interest in obtaining the emails.","Kushner","Trump Campaign","positive1"
"3054","The day after the election, Kilimnik raised with Patten the idea of ""talking to Paul"" in order to find a job for Patten in the incoming administration.","Kilimnik","Patten","positive2"
"3055","Cohen recalled that at some point in this approximate time period he also discussed the possibility of traveling to Russia with Trump.","Cohen","Trump","neutral2"
"3056","Stone also tweeted at WikiLeaks and the Guccifer 2.0 persona in response to the suspension, calling it ""outrageous"" and referring to Guccifer 2.0 as a ""HERO.""","Stone","Guccifer 2.0","positive1"
"3057","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Timur Beniaminov","Esther Swan","neutral2"
"3058","Among other things, WikiLeaks also asked Guccifer 2.0 if it had ""any bigger datasets"" and whether it had received ""our fast transfer details,"" and suggested that WikiLeaks had taken the step of "".arrang[ing] that server just for that purpose"" presumably referring to the transfer of more data.","Wikileaks","Guccifer 2.0","neutral2"
"3059","GRU officers also used the DCLeaks Facebook account, the Twitter account @dcleaks_, and the email account dcleaksproject@gmail.com to communicate privately with reporters and � other U.S. persons.","dcleaksproject@gmail.com","GRU","neutral2"
"3060","Bannon, who continued to defend Sessions, and who believed that he had militantly—indeed with scathing attacks on the Jarvankas for their stupidity—walled himself off from the Comey smashup, was now suddenly getting calls from reporters with leaks that painted him as an engaged participant in the Comey decision.","Bannon","Sessions","positive2"
"3061","In addition, Trump publicly requested that Russia find and release the ""missing"" emails from Clinton's server, and hours later, GRU hackers attempted new spear phishing attacks against the Clinton Campaign.","GRU","the Clinton Campaign","negative1"
"3062","Chris Christie had personally pained Trump not to be able to give it to him.","Trump","Chris Christie","positive2"
"3063","Beginning in April or May 2016, Roger Stone repeatedly conveyed to Trump and senior Trump Campaign staff that WikiLeaks would be releasing information damaging to Clinton.","Roger Stone","Trump Campaign","neutral2"
"3064","The Jarvanka people pushed Priebus to refer the matter to the White House counsel, billing this as the most verbally abusive moment in the history of the West Wing, or at least certainly up among the most abusive episodes ever.","The Jarvanka","Priebus","negative1"
"3065","According to Manafort, at one point in 2014, the OB owed Manafort about $4 million.","OB","Manafort","negative2"
"3066","According to Kaveladze, ""Ms. Veselnitskaya represents Crocus Group in numerous real estate-related, land-related transactions.""","Veselnitskaya","Crocus Group","positive2"
"3067","James Comey Jr. was scheduled to testify before Congress on May 3, 2017.","James Comey Jr.","Congress","neutral2"
"3068","Emin's father has asked me to pass on his congratulations in a letter enclosed below for Mr. Trump on the eve of Super Tuesday vote -- offering his support and that of many of his important Russian friends and colleagues - especially with reference to U.S. / Russia relations.","Emin's father","Trump","positive1"
"3069","On Sunday, October 27, Svetlana Bignova, Grachev's deputy, sent an email to Goldstone, Emin Agalarov, Kaveladze, Grachev, and Beniaminov.","Svetlana Bignova","Grachev","neutral1"
"3070","For example, Russian government media RT announced:""'Guccifer 2.0' releases hacked DNC docs revealing mega donors, Clinton collusion.""","Guccifer 2.0","DNC","negative1"
"3071","Starting in the early 2000s, the Trump Organization and Donald Trump repeatedly sought assistance from Sater to close a real estate deal in Russia.","Donald Trump","Sater","positive1"
"3072","On January 30, 2016, during a meeting with Barrack, Manafort requested Barrack's help in obtaining a position on the Trump Campaign.","Manafort","Barrack","positive1"
"3073","With the president promising that he would make up his mind by August, and McMaster, Mattis, and Tillerson pressing for a decision as soon as possible, Bannon-inspired media began a campaign to brand McMaster as a globalist, interventionist, and all around not-our-kind-of-Trumper—and, to boot, soft on Israel.","McMaster","Trump","negative1"
"3074","Akhmetov and other oligarchs in Ukraine began funding Manafort's work there, while Deripaska provided Manafort other funding and strategic guidance as part of a broader influence campaign.","Deripaska","Manafort","positive1"
"3075","On November 5, 2016, Manafort sent a document entitled ""Securing the Victory"" to at least Trump, Kushner, and Reince Priebus.","Manafort","Trump","neutral2"
"3076","In an email to Patten responding to the public revelation of Kilimnik's campaign correspondence with Manafort, Kilimnik suggested that the Russians were ""idiots"" who were ""too disorganized"" to conduct such interference and that they ""distrusted"" Manafort too much to use him in any election meddling.","Russia","Manafort","negative1"
"3077","Manafort's work with Deripaska also included a joint business venture known as Pericles Emerging Market Partners L.P., a private equity fund designed to be focused on foreign investment in eastern Europe, particularly Ukraine, Russia, and Montenegro.","Manafort","Pericles Emerging Market Partners L.P.","neutral2"
"3078","Mr. Akhmetshin and Mr. Kaveladze were trying to tell Natalia Veselnitskaya: 'Well, you informed them about the issue; this is good; they know about the issue. '","Kaveladze","Natalia Veselnitskaya","positive1"
"3079","Late that evening, between 11 :28 p.m. and 12:09 a.m., Manafort and Kilimnik also exchanged approximately ten text messages.","Manafort","Kilimnik","neutral2"
"3080","I am more than sure that it will be resolved and Konstantin Kilimnik and Paul Manafort will get back to the original relationship with Oleg Deripaska.","Paul Manafort","Oleg Deripaska","positive1"
"3081","Ledeen, a long-time Senate staffer who had previously sought the Clinton emails, provided updates to Flynn about her efforts throughout the summer of 2016.","Ledeen","Senate","neutral1"
"3082","Kondratyev is the Chair of the Security and Defense Committee in the Russian Federation Council.","Kondratyev","Security and Defense Committee","neutral1"
"3083","Wikileaks and Guccifer 2.0 exchanged a total of 82 messages that day alone.","Wikileaks","Guccifer 2.0","neutral2"
"3084","On June 14, 2016, Goldstone emailed Graff, writing that he trusted that his colleagues ""were able to deliver the birthday painting for Mr. Trump today"" and asking her to ""[p]lease pass on my sincere birthday good wishes along with those of Emin and Aras and as always thank you for all your help.""","Goldstone","Graff","neutral2"
"3085","He admitted, however, that he did not think about whether WikiLeaks was acting as a pass-through for Russia or otherwise consider WikiLeaks's history of hostile actions against the United States.","WikiLeaks","Russia","positive1"
"3086","Manafort told the FBI that, after his resignation, but before the election, he and Trump had spoken ""a few times. ""","Manafort","Trump","neutral2"
"3087","Sam Nunberg, another Trump adviser at the time, was angered to learn from a Republican operative that Cohen had raised the subject with Ed Cox, chairman of New York’s GOP.","Cohen","Ed Cox","neutral2"
"3088","However, two months later, on October 17, a Washington Examiner story titled ""Putin loves Donald Trump,"" prominently featured Rykov and his Kremlin ties.","Putin","Trump","positive1"
"3089","Gates himself recalled having a conversation with Stone in which Stone said that the WikiLeaks July 22 release was what Stone had previously predicted would come out, and that additional information would be coming.","Gates","Stone","neutral2"
"3090","In approximately 2000, Bayrock, led by Sater and Arif, leased office space on the 24th floor of Trump Tower in New York, which ultimately led to Sater's introduction to Trump.","Sater","Trump","neutral1"
"3091","As with the chemical attack in Syria, it was Dina Powell—even as she made increasingly determined efforts to get herself out of the White House, either on a Sheryl Sandberg trajectory or, stopping first at a way station, as ambassador to the United Nations—who struggled to help support the least disruptive, most keep-all-options-open approach.","Dina Powell","White House","negative1"
"3092","Two of these proposals came to Michael Cohen, then an executive vice president at the Trump Organization and personal attorney to Trump, from individuals with strong connections in Russia who had done business with Trump and the Trump Organization in the past.","Michael Cohen","Trump","neutral1"
"3093","WikiLeaks wrote that the link would help Trump in ""digging through"" leaked emails and stated, ""we just released Podesta emails Part 4.""","WikiLeaks","Trump","positive1"
"3094","Goldstone wrote to Graff and Shugart with a follow up request for another signed letter from Trump.","Goldstone","Graff","neutral2"
"3095","Aras Agalarov was personally involved in pushing for the meeting between Veselnitskaya and the Trump Campaign, and also pushed for a second meeting for Veselnitskaya following the election, which did not take place.","Veselnitskaya","Trump Campaign","neutral2"
"3096","Phone records for June and July reflect a total' of 28 calls between Gates and Stone and a total of 18 between Manafort and Stone, including those described below.","Gates","Stone","neutral2"
"3097","Gates believed that between approximately 2014 and 2016, Manafort asked Kilimnik to communicate with Deripaska, who contacted Deripaska's ""chief of security,"" Viktor Boyarkin, presumably about Pericles.","Viktor Boyarkin","Deripaska","neutral1"
"3098","In the memoranda to Kolesnikov, Akhmetov, and Lyovochkin, Manafort also wrote that he was interested in Ukrainian politics and implied he might be interested in assisting them: I am watching intently at the prospects ofa new Ukraine government potentially forming in the coming days.","Manafort","Kolesnikov","neutral2"
"3099","Donald Trump invited his daughter Ivanka, an amorphous adviser without an official title, into sensitive meetings, and cheered his policy aide Stephen Miller when he went on television to peddle baseless conspiracy theories about phantom Massachusetts residents voting illegally in New Hampshire last fall.","Donald Trump","Stephen Miller","positive1"
"3100","Kaveladze told the Committee that his primary interlocutor at the Trump Organization was Trump Jr., and that Emin and Aras Agalarov were both involved on the Crocus Group side.","Aras Agalarov","Crocus Group","neutral2"
"3101","Flynn equivocated, and Anton, suddenly concerned, advised him that if he couldn’t be sure they ought to “walk it back.”","Anton","Flynn","positive1"
"3102","Thus, although it is clear that the stolen DNC and Podesta documents were transferred from the GRU to WikiLeaks,","GRU","Podesta","negative1"
"3103","Veselnitskaya helped represent Prevezon Holdings in the case.","Veselnitskaya","Prevezon Holdings","positive2"
"3104","Then Natalia Veselnitskaya said: ""What does Rinat Akhmetshin think Natalia Veselnitskaya should tell him?""","Natalia Veselnitskaya","Rinat Akhmetshin","neutral2"
"3105","When asked about Trump's dismissal of his projected ventilator needs later Friday, Cuomo told CNN's Erin Burnett, ""I hope he's right.""","Trump","Cuomo","negative1"
"3106","In mid-2017, Kilimnik and Patten organized a survey at Kilimnik's urging to, in part, discreetly measure voters' openness to Yanukovych's return.","Kilimnik","Patten","positive2"
"3107","Polonskaya is a Russian citizen who Mifsud used as a proxy for his activities.","Mifsud","Polonskaya","positive1"
"3108","According to Beniaminov, attendees at the dinner included Aras Agalarov, Donald Trump, Aras Agalarov's wife and daughter, Emin Agalarov, Emin Agalarov's friends Murad and Timur Beniaminov, Roman Beniaminov (no relation), Rob Goldstone, Goldstone and Agalarov's associate Murtaza Akbar, Trump Organization employees Keith Schiller and Michael Cohen, Miss Universe employee Esther Swan, former-Miss Universe Olivia Culpo, and others.","Murtaza Akbar","Timur Beniaminov","neutral2"
"3109","In mid-October, Ivanka Trump tasked the Trump Campaign's senior officials (including: Bannon, Scavino, Stephen Miller and Jason Miller) with preparing two Trump tweets every day linking to WikiLeaks content, which, she said, would help ""refocus the narrative.""","Bannon","Trump Campaign","neutral1"
"3110","The Russian contacts consisted of business connections, offers of assistance to the Trump Campaign, invitations for candidate Trump and Putin to meet in person, invitations for Trump Campaign officials and representatives of the Russian government to meet, and policy positions seeking improved U.S.-Russian relations.","Russia","Trump Campaign","positive2"
